# Set of excavated loom weights and lengths from Pompeii.
# Alice Yao sent me these data on October 30, 2017.
Weight,Height
96,69
106,78
107,57
110,74
111,62
112,71
113,69
117,55
118,64
119,56
133,58
133,60
133,70
134,67
136,64
136,58
137,65
138,63
138,74
139,64
140,70
142,74
143,79
143,72
146,61
152,68
158,69
159,83
159,72
160,59
163,64
163,86
164,81
166,57
166,71
166,72
166,61
167,73
170,66
171,69
173,70
175,72
178,87
180,82
180,88
182,68
187,84
189,88
191,60
193,97
198,91
199,79
201,88
202,81
202,95
202,87
204,69
207,87
211,69
214,87
216,89
222,87
226,100
228,93
230,90
233,96
235,99
239,99
240,78
242,100
247,97
255,103
256,100
257,100
258,89
260,87
260,98
266,100
267,98
269,92
269,89
273,94
276,102
277,95
280,87
281,104
283,107
284,61
284,91
286,107
288,72
288,110
290,116
290,101
291,107
296,99
296,114
297,103
298,97
298,98
300,98
301,100
303,98
304,91
304,98
306,95
306,97
310,88
313,118
314,97
316,70
318,99
321,112
322,100
324,100
327,104
327,101
328,112
337,95
340,118
342,107
343,87
343,100
348,104
349,111
350,110
351,91
355,94
356,122
371,103
373,112
374,101
383,108
388,99
391,118
420,116
420,128
449,120
467,105
484,116
564,114
618,119
737,127
